,Date,Open,High,Low,Close*,Adj Close**,Volume
5005,"Jun 26, 2002",976.14,977.43,952.92,973.53,973.53,"2,014,290,000"
5006,"Jun 25, 2002",992.72,"1,005.88",974.21,976.14,976.14,"1,513,700,000"
5007,"Jun 24, 2002",989.14,"1,002.11",970.85,992.72,992.72,"1,552,600,000"
5008,"Jun 21, 2002","1,006.29","1,006.29",985.65,989.14,989.14,"1,497,200,000"
5009,"Jun 20, 2002","1,019.99","1,023.33","1,004.59","1,006.29","1,006.29","1,389,700,000"
5010,"Jun 19, 2002","1,037.14","1,037.61","1,017.88","1,019.99","1,019.99","1,336,100,000"
5011,"Jun 18, 2002","1,036.17","1,040.83","1,030.92","1,037.14","1,037.14","1,193,100,000"
5012,"Jun 17, 2002","1,007.27","1,036.17","1,007.27","1,036.17","1,036.17","1,236,600,000"
5013,"Jun 14, 2002","1,009.56","1,009.56",981.63,"1,007.27","1,007.27","1,549,000,000"
5014,"Jun 13, 2002","1,020.26","1,023.47","1,008.12","1,009.56","1,009.56","1,405,500,000"
5015,"Jun 12, 2002","1,013.26","1,021.85","1,002.58","1,020.26","1,020.26","1,795,720,000"
5016,"Jun 11, 2002","1,030.74","1,039.04","1,012.94","1,013.60","1,013.60","1,212,400,000"
5017,"Jun 10, 2002","1,027.53","1,038.18","1,025.45","1,030.74","1,030.74","1,226,200,000"
5018,"Jun 07, 2002","1,029.15","1,033.02","1,012.49","1,027.53","1,027.53","1,341,300,000"
5019,"Jun 06, 2002","1,049.90","1,049.90","1,026.91","1,029.15","1,029.15","1,601,500,000"
5020,"Jun 05, 2002","1,040.69","1,050.11","1,038.84","1,049.90","1,049.90","1,300,100,000"
5021,"Jun 04, 2002","1,040.68","1,046.06","1,030.52","1,040.69","1,040.69","1,466,600,000"
5022,"Jun 03, 2002","1,067.14","1,070.74","1,039.90","1,040.68","1,040.68","1,324,300,000"
5023,"May 31, 2002","1,064.66","1,079.93","1,064.66","1,067.14","1,067.14","1,277,300,000"
5024,"May 30, 2002","1,067.66","1,069.50","1,054.26","1,064.66","1,064.66","1,286,600,000"
5025,"May 29, 2002","1,074.55","1,074.83","1,067.66","1,067.66","1,067.66","1,081,800,000"
5026,"May 28, 2002","1,083.82","1,085.98","1,070.31","1,074.55","1,074.55","996,500,000"
5027,"May 24, 2002","1,097.08","1,097.08","1,082.19","1,083.82","1,083.82","885,400,000"
5028,"May 23, 2002","1,086.02","1,097.10","1,080.55","1,097.08","1,097.08","1,192,900,000"
5029,"May 22, 2002","1,079.88","1,086.02","1,075.64","1,086.02","1,086.02","1,136,300,000"
5030,"May 21, 2002","1,091.88","1,099.55","1,079.08","1,079.88","1,079.88","1,200,500,000"
5031,"May 20, 2002","1,106.59","1,106.59","1,090.61","1,091.88","1,091.88","989,800,000"
5032,"May 17, 2002","1,098.23","1,106.59","1,096.77","1,106.59","1,106.59","1,274,400,000"
5033,"May 16, 2002","1,091.07","1,099.29","1,089.17","1,098.23","1,098.23","1,256,600,000"
5034,"May 15, 2002","1,097.28","1,104.23","1,088.94","1,091.07","1,091.07","1,420,200,000"
5035,"May 14, 2002","1,074.56","1,097.71","1,074.56","1,097.28","1,097.28","1,414,500,000"
5036,"May 13, 2002","1,054.99","1,074.84","1,053.90","1,074.56","1,074.56","1,088,600,000"
5037,"May 10, 2002","1,073.01","1,075.43","1,053.93","1,054.99","1,054.99","1,171,900,000"
5038,"May 09, 2002","1,088.85","1,088.85","1,072.23","1,073.01","1,073.01","1,153,000,000"
5039,"May 08, 2002","1,049.49","1,088.92","1,049.49","1,088.85","1,088.85","1,502,000,000"
5040,"May 07, 2002","1,052.67","1,058.67","1,048.96","1,049.49","1,049.49","1,354,700,000"
5041,"May 06, 2002","1,073.43","1,075.96","1,052.65","1,052.67","1,052.67","1,122,600,000"
5042,"May 03, 2002","1,084.56","1,084.56","1,068.89","1,073.43","1,073.43","1,284,500,000"
5043,"May 02, 2002","1,086.46","1,091.42","1,079.46","1,084.56","1,084.56","1,364,000,000"
5044,"May 01, 2002","1,076.92","1,088.32","1,065.29","1,086.46","1,086.46","1,451,400,000"
5045,"Apr 30, 2002","1,065.45","1,082.62","1,063.46","1,076.92","1,076.92","1,628,600,000"
5046,"Apr 29, 2002","1,076.32","1,078.95","1,063.62","1,065.45","1,065.45","1,314,700,000"
5047,"Apr 26, 2002","1,091.48","1,096.77","1,076.31","1,076.32","1,076.32","1,374,200,000"
5048,"Apr 25, 2002","1,093.14","1,094.36","1,084.81","1,091.48","1,091.48","1,517,400,000"
5049,"Apr 24, 2002","1,100.96","1,108.46","1,092.51","1,093.14","1,093.14","1,373,200,000"
5050,"Apr 23, 2002","1,107.83","1,111.17","1,098.94","1,100.96","1,100.96","1,388,500,000"
5051,"Apr 22, 2002","1,125.17","1,125.17","1,105.62","1,107.83","1,107.83","1,181,800,000"
5052,"Apr 19, 2002","1,124.47","1,128.82","1,122.59","1,125.17","1,125.17","1,185,000,000"
5053,"Apr 18, 2002","1,126.07","1,130.49","1,109.29","1,124.47","1,124.47","1,359,300,000"
5054,"Apr 17, 2002","1,128.37","1,133.00","1,123.37","1,126.07","1,126.07","1,376,900,000"
5055,"Apr 16, 2002","1,102.55","1,129.40","1,102.55","1,128.37","1,128.37","1,341,300,000"
5056,"Apr 15, 2002","1,111.01","1,114.86","1,099.41","1,102.55","1,102.55","1,120,400,000"
5057,"Apr 12, 2002","1,103.69","1,112.77","1,102.74","1,111.01","1,111.01","1,282,100,000"
5058,"Apr 11, 2002","1,130.47","1,130.47","1,102.42","1,103.69","1,103.69","1,505,600,000"
5059,"Apr 10, 2002","1,117.80","1,131.76","1,117.80","1,130.47","1,130.47","1,447,900,000"
5060,"Apr 09, 2002","1,125.29","1,128.29","1,116.73","1,117.80","1,117.80","1,235,400,000"
5061,"Apr 08, 2002","1,122.73","1,125.41","1,111.79","1,125.29","1,125.29","1,095,300,000"
5062,"Apr 05, 2002","1,126.34","1,133.31","1,119.49","1,122.73","1,122.73","1,110,200,000"
5063,"Apr 04, 2002","1,125.40","1,130.45","1,120.06","1,126.34","1,126.34","1,283,800,000"
5064,"Apr 03, 2002","1,136.76","1,138.85","1,119.68","1,125.40","1,125.40","1,219,700,000"
