"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 28일","89.993","89.995","90.430","89.970","33.30K","0.04%"
"2021년 05월 27일","89.959","90.075","90.180","89.895","19.02K","-0.08%"
"2021년 05월 26일","90.030","89.695","90.105","89.580","18.22K","0.45%"
"2021년 05월 25일","89.628","89.835","89.855","89.515","21.14K","-0.23%"
"2021년 05월 24일","89.838","90.015","90.105","89.750","15.80K","-0.19%"
"2021년 05월 21일","90.005","89.790","90.155","89.630","24.87K","0.23%"
"2021년 05월 20일","89.795","90.205","90.225","89.735","18.13K","-0.44%"
"2021년 05월 19일","90.191","89.775","90.280","89.680","32.53K","0.51%"
"2021년 05월 18일","89.734","90.185","90.190","89.675","21.72K","-0.45%"
"2021년 05월 17일","90.142","90.345","90.415","90.125","17.80K","-0.19%"
"2021년 05월 14일","90.318","90.735","90.795","90.270","20.26K","-0.46%"
"2021년 05월 13일","90.735","90.735","90.910","90.575","27.51K","0.05%"
"2021년 05월 12일","90.686","90.185","90.790","90.130","46.71K","0.62%"
"2021년 05월 11일","90.124","90.230","90.335","89.955","35.66K","-0.07%"
"2021년 05월 10일","90.185","90.215","90.325","90.015","27.53K","-0.03%"
"2021년 05월 07일","90.216","90.875","90.955","90.170","46.40K","-0.79%"
"2021년 05월 06일","90.936","91.255","91.380","90.865","24.52K","-0.39%"
"2021년 05월 05일","91.293","91.255","91.435","91.165","15.39K","0.02%"
"2021년 05월 04일","91.275","90.985","91.390","90.965","26.33K","0.38%"
"2021년 05월 03일","90.927","91.270","91.385","90.845","23.13K","-0.38%"
"2021년 04월 30일","91.270","90.600","91.320","90.580","29.91K","0.75%"
"2021년 04월 29일","90.593","90.525","90.770","90.395","22.12K","0.00%"
"2021년 04월 28일","90.593","90.865","91.105","90.525","22.95K","-0.33%"
"2021년 04월 27일","90.892","90.850","91.045","90.785","12.89K","0.12%"
"2021년 04월 26일","90.780","90.825","90.965","90.655","19.61K","-0.06%"
"2021년 04월 23일","90.839","91.285","91.285","90.780","19.43K","-0.53%"
"2021년 04월 22일","91.321","91.085","91.415","90.970","21.69K","0.21%"
"2021년 04월 21일","91.129","91.210","91.425","91.065","21.10K","-0.11%"
"2021년 04월 20일","91.227","91.040","91.270","90.840","25.95K","0.19%"
"2021년 04월 19일","91.050","91.575","91.750","91.025","32.38K","-0.54%"
"2021년 04월 16일","91.544","91.650","91.810","91.470","18.84K","-0.08%"
"2021년 04월 15일","91.618","91.630","91.745","91.495","20.61K","-0.06%"
"2021년 04월 14일","91.674","91.805","91.815","91.565","14.65K","-0.19%"
"2021년 04월 13일","91.844","92.095","92.365","91.785","28.95K","-0.33%"
"2021년 04월 12일","92.144","92.200","92.335","92.005","25.92K","-0.02%"
"2021년 04월 09일","92.160","92.075","92.430","92.035","19.96K","0.10%"
"2021년 04월 08일","92.069","92.445","92.505","92.010","19.04K","-0.44%"
"2021년 04월 07일","92.472","92.300","92.515","92.155","18.61K","0.13%"
"2021년 04월 06일","92.348","92.580","92.800","92.285","20.49K","-0.27%"
"2021년 04월 05일","92.595","93.010","93.130","92.560","27.78K","-0.49%"
"2021년 04월 02일","93.051","92.910","93.125","92.840","5.78K","0.11%"
"2021년 04월 01일","92.947","93.230","93.365","92.890","22.12K","-0.31%"
"2021년 03월 31일","93.236","93.275","93.470","93.005","20.93K","-0.09%"
"2021년 03월 30일","93.321","92.925","93.380","92.890","17.12K","0.39%"
"2021년 03월 29일","92.956","92.730","92.980","92.720","19.82K","0.20%"
"2021년 03월 26일","92.775","92.850","92.895","92.650","18.99K","-0.05%"
"2021년 03월 25일","92.826","92.595","92.940","92.520","27.58K","0.32%"
"2021년 03월 24일","92.530","92.430","92.630","92.350","19.00K","0.20%"
"2021년 03월 23일","92.347","91.810","92.400","91.770","27.71K","0.66%"
"2021년 03월 22일","91.741","92.105","92.175","91.695","28.15K","-0.20%"
"2021년 03월 19일","91.925","91.850","92.185","91.665","32.38K","0.06%"
"2021년 03월 18일","91.870","91.380","91.930","91.290","37.40K","0.48%"
"2021년 03월 17일","91.435","91.875","92.015","91.365","31.10K","-0.48%"
"2021년 03월 16일","91.880","91.820","92.045","91.670","24.24K","0.03%"
"2021년 03월 15일","91.852","91.640","91.855","91.640","1.54K","0.19%"
"2021년 03월 12일","91.678","91.430","91.970","91.405","8.35K","0.28%"
"2021년 03월 11일","91.418","91.855","91.895","91.370","40.32K","-0.45%"
"2021년 03월 10일","91.828","92.035","92.250","91.770","48.93K","-0.15%"
"2021년 03월 09일","91.964","92.445","92.530","91.920","41.05K","-0.40%"
"2021년 03월 08일","92.334","91.940","92.440","91.865","41.68K","0.37%"
"2021년 03월 05일","91.990","91.640","92.225","91.640","47.69K","0.38%"
"2021년 03월 04일","91.644","91.025","91.695","90.985","36.47K","0.77%"
"2021년 03월 03일","90.942","90.800","91.075","90.635","28.97K","0.17%"
"2021년 03월 02일","90.790","91.070","91.405","90.730","30.96K","-0.27%"
"2021년 03월 01일","91.036","90.900","91.150","90.685","36.78K","0.17%"
"2021년 02월 26일","90.882","90.335","90.980","90.135","49.29K","0.83%"
"2021년 02월 25일","90.135","90.075","90.295","89.675","44.24K","-0.04%"
"2021년 02월 24일","90.170","90.090","90.445","89.960","30.51K","0.00%"
"2021년 02월 23일","90.167","89.980","90.265","89.925","22.81K","0.19%"
"2021년 02월 22일","89.999","90.345","90.575","89.980","35.65K","-0.40%"
"2021년 02월 19일","90.363","90.540","90.660","90.165","27.10K","-0.26%"
"2021년 02월 18일","90.600","90.870","90.995","90.535","32.79K","-0.38%"
"2021년 02월 17일","90.949","90.705","91.050","90.610","33.42K","0.49%"
"2021년 02월 16일","90.503","90.310","90.630","90.095","30.62K","0.04%"
"2021년 02월 15일","90.470","90.420","90.460","90.250","13.83K","0.00%"
"2021년 02월 12일","90.470","90.410","90.735","90.355","22.47K","0.06%"
"2021년 02월 11일","90.413","90.450","90.480","90.250","18.99K","0.06%"
"2021년 02월 10일","90.363","90.455","90.515","90.235","24.63K","-0.07%"
