,date,doller,fed,gdp,cpi,sp_close,sp_volume,mi_close,mi_volume,gsci_close,unem,infl,pmi
8118,1989-03-17,97.309998,9.81,5511.253,122.2,292.69,242900000.0,90.69,1900.0,1498.08,5.0,5.0,51.5
8119,1989-03-16,96.889999,9.79,5511.253,122.2,299.44,196040000.0,91.81,2130.0,1497.48,5.0,5.0,51.5
8120,1989-03-15,96.989998,9.84,5511.253,122.2,296.67,167070000.0,91.78,1940.0,1496.9301,5.0,5.0,51.5
8121,1989-03-14,96.440002,9.78,5511.253,122.2,295.14,139970000.0,91.75,2970.0,1479.16,5.0,5.0,51.5
8122,1989-03-13,96.839996,9.82,5511.253,122.2,295.32,140460000.0,91.59,5140.0,1475.17,5.0,5.0,51.5
8123,1989-03-10,96.489998,9.82,5511.253,122.2,292.88,146830000.0,91.56,4240.0,1453.4301,5.0,5.0,51.5
8124,1989-03-09,96.339996,9.89,5511.253,122.2,293.93,143160000.0,92.22,2060.0,1446.83,5.0,5.0,51.5
8125,1989-03-08,96.620003,10.5,5511.253,122.2,294.08,167620000.0,92.28,3880.0,1449.2,5.0,5.0,51.5
8126,1989-03-07,96.269997,9.59,5511.253,122.2,293.87,172500000.0,92.12,2860.0,1445.36,5.0,5.0,51.5
8127,1989-03-06,96.209999,9.77,5511.253,122.2,294.81,168880000.0,92.06,7610.0,1453.24,5.0,5.0,51.5
8128,1989-03-03,95.779999,9.7,5511.253,122.2,291.18,151790000.0,91.81,8640.0,1447.26,5.0,5.0,51.5
8129,1989-03-02,96.010002,9.83,5511.253,122.2,289.95,161980000.0,91.81,15290.0,1456.45,5.0,5.0,51.5
8130,1989-03-01,95.669998,9.82,5511.253,122.2,287.11,177210000.0,91.5,24880.0,1436.49,5.0,5.0,51.5
8131,1989-02-28,94.900002,9.87,5511.253,121.6,288.86,147430000.0,91.72,19080.0,1432.6801,5.2,4.8,54.1
8132,1989-02-27,94.889999,9.92,5511.253,121.6,287.82,139900000.0,91.53,30520.0,1428.95,5.2,4.8,54.1
8133,1989-02-24,94.660004,9.79,5511.253,121.6,287.13,160680000.0,91.31,26270.0,1422.88,5.2,4.8,54.1
8134,1989-02-23,94.529999,9.6,5511.253,121.6,292.05,150370000.0,91.47,39250.0,1412.41,5.2,4.8,54.1
8135,1989-02-22,95.239998,9.81,5511.253,121.6,290.91,163140000.0,91.94,26910.0,1406.25,5.2,4.8,54.1
8136,1989-02-21,95.489998,9.33,5511.253,121.6,295.98,141950000.0,92.41,15340.0,1391.0,5.2,4.8,54.1
8137,1989-02-17,94.900002,9.31,5511.253,121.6,296.76,159520000.0,92.47,12280.0,1389.75,5.2,4.8,54.1
8138,1989-02-16,95.0,9.35,5511.253,121.6,294.81,177450000.0,92.34,14310.0,1377.27,5.2,4.8,54.1
8139,1989-02-15,95.010002,9.4,5511.253,121.6,294.24,154220000.0,92.28,19320.0,1373.35,5.2,4.8,54.1
8140,1989-02-14,95.209999,9.29,5511.253,121.6,291.81,150610000.0,92.22,22470.0,1351.55,5.2,4.8,54.1
8141,1989-02-13,96.169998,9.3,5511.253,121.6,292.54,143520000.0,92.41,19280.0,1357.08,5.2,4.8,54.1
8142,1989-02-10,96.379997,9.19,5511.253,121.6,292.02,173560000.0,92.5,44590.0,1346.99,5.2,4.8,54.1
8143,1989-02-09,95.650002,9.31,5511.253,121.6,296.06,224220000.0,93.03,41180.0,1361.76,5.2,4.8,54.1
8144,1989-02-08,96.489998,9.38,5511.253,121.6,298.65,189420000.0,93.94,29810.0,1372.45,5.2,4.8,54.1
8145,1989-02-07,96.589996,9.0,5511.253,121.6,299.63,217260000.0,94.0,19930.0,1377.41,5.2,4.8,54.1
8146,1989-02-06,96.610001,9.08,5511.253,121.6,296.04,150980000.0,93.72,7410.0,1370.6899,5.2,4.8,54.1
8147,1989-02-03,96.739998,9.08,5511.253,121.6,296.97,172980000.0,93.69,20930.0,1380.71,5.2,4.8,54.1
8148,1989-02-02,96.800003,9.03,5511.253,121.6,296.84,183430000.0,93.81,17810.0,1383.01,5.2,4.8,54.1
8149,1989-02-01,96.580002,9.02,5511.253,121.6,297.09,215640000.0,93.72,11050.0,1384.33,5.2,4.8,54.1
8150,1989-01-31,96.769997,9.14,5511.253,121.2,297.47,194050000.0,93.66,18420.0,1373.6,5.4,4.7,54.7
