"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-12",98.45035,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-01",98.43959,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-02",98.52359,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-03",98.6428,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-04",98.73848,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-05",98.82824,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-06",98.96014,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-07",99.16165,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-08",99.41042,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-09",99.69141,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-10",99.99425,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-11",100.2425,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-12",100.45,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-01",100.6532,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-02",100.8532,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-03",101.0763,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-04",101.3081,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-05",101.5213,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-06",101.7124,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-07",101.847,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-08",101.8988,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-09",101.877,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-10",101.8632,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-11",101.8474,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-12",101.8331,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-01",101.8119,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-02",101.7631,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-03",101.6542,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-04",101.4906,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-05",101.2533,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-06",100.9804,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-07",100.7288,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-08",100.5618,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-09",100.4555,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-10",100.3687,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-11",100.313,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-12",100.2646,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-01",100.2114,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-02",100.0715,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-03",99.93353,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-04",99.80338,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-05",99.69323,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-06",99.62399,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-07",99.59827,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-08",99.61987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-09",99.65707,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-10",99.6992,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-11",99.72453,
